ags,55039800,10034,-172,-1763,164,-17,-363
ags,55039810,10029,-147,-1729,57,-32,-342
ags,55039820,10051,-150,-1733,-28,-30,-284
ags,55039830,10034,-240,-1675,-60,-17,-259
ags,55039840,9985,-230,-1687,-47,-33,-226
ags,55039850,10022,-257,-1653,-37,-30,-174
ags,55039860,10019,-284,-1682,-23,-45,-145
ags,55039870,10024,-265,-1665,-12,-55,-62
ags,55039880,10036,-218,-1648,17,-91,-62
ags,55039890,10029,-221,-1782,-5,-78,6
ags,55039900,10012,-279,-1711,-49,-76,-15
ags,55039910,9980,-334,-1794,-72,-79,27
ags,55039920,10034,-284,-1685,-81,-73,38
ags,55039930,10019,-299,-1672,-87,-91,74
ags,55039940,9958,-349,-1692,-76,-90,70
ags,55039950,10012,-327,-1760,-96,-73,73
ags,55039960,9978,-334,-1768,-96,-99,74
ags,55039970,10034,-332,-1714,-89,-107,70
ags,55039980,10044,-371,-1797,-96,-110,39
ags,55039990,10026,-376,-1743,-102,-99,71
ags,55040000,9997,-366,-1780,-107,-97,70
ags,55040010,9987,-400,-1760,-92,-97,62
ags,55040020,10000,-415,-1770,-92,-71,44
ags,55040030,10039,-434,-1707,-55,-36,48
ags,55040040,9975,-471,-1733,-37,-76,19
ags,55040050,10036,-430,-1787,-5,-70,-6
ags,55040060,9968,-459,-1751,40,-49,-35
ags,55040070,9983,-452,-1711,31,-53,-65
ags,55040080,9987,-491,-1785,31,-62,-122
ags,55040090,9987,-483,-1829,57,-44,-149
ags,55040100,9956,-469,-1777,45,-42,-209
ags,55040110,9983,-537,-1802,109,-47,-232
ags,55040120,9995,-554,-1714,182,-24,-291
ags,55040130,9975,-583,-1794,231,-58,-352
ags,55040140,9992,-598,-1714,294,-65,-453
ags,55040150,9956,-630,-1726,342,-94,-503
ags,55040160,9997,-664,-1768,396,-114,-626
ags,55040170,9953,-683,-1753,443,-125,-745
ags,55040180,9946,-788,-1746,523,-126,-908
ags,55040190,9902,-796,-1790,619,-172,-1088
ags,55040200,9931,-867,-1765,710,-149,-1210
ags,55040210,9958,-845,-1782,805,-180,-1406
ags,55040220,10044,-749,-1826,839,-151,-1513
ags,55040230,10039,-671,-1880,833,-175,-1682
ags,55040240,10036,-581,-1829,720,-114,-1806
ags,55040250,10014,-452,-1814,568,-70,-1997
ags,55040260,10048,-393,-1816,459,-39,-2152
ags,55040270,10026,-383,-1899,384,-8,-2288
ags,55040280,9980,-386,-1939,364,15,-2429
ags,55040290,10019,-342,-1848,387,27,-2531
ags,55040300,10022,-332,-1824,402,62,-2616
ags,55040310,9975,-233,-1865,460,57,-2687
ags,55040320,9963,-42,-1853,529,51,-2761
ags,55040330,10031,-64,-1897,570,134,-2824
ags,55040340,10039,141,-1897,539,180,-2871
ags,55040350,10044,275,-1943,484,192,-2852
ags,55040360,10031,400,-1904,428,247,-2876
ags,55040370,10070,519,-1878,329,267,-2841
ags,55040380,10048,507,-1768,294,286,-2812
ags,55040390,9968,617,-1731,307,282,-2771
ags,55040400,10105,785,-1692,339,259,-2716
ags,55040410,9924,763,-1809,291,300,-2674
ags,55040420,9951,815,-1751,327,280,-2587
ags,55040430,9936,841,-1775,373,305,-2487
ags,55040440,9948,956,-1687,399,283,-2389
ags,55040450,9948,1015,-1707,436,260,-2313
ags,55040460,9963,1093,-1670,433,228,-2180
ags,55040470,9946,1108,-1655,436,216,-2082
ags,55040480,9904,1242,-1660,397,234,-1913
ags,55040490,9980,1281,-1726,457,205,-1780
ags,55040500,9614,1488,-1826,249,-146,-1803
ags,55040510,9892,1369,-1709,219,135,-1546
ags,55040520,9914,1408,-1699,173,108,-1430
ags,55040530,9909,1381,-1631,115,120,-1277
ags,55040540,9882,1440,-1609,94,89,-1145
ags,55040550,9902,1422,-1672,69,67,-977
ags,55040560,9895,1464,-1641,94,60,-833
ags,55040570,9829,1457,-1670,112,60,-702
ags,55040580,9895,1481,-1665,120,42,-577
ags,55040590,9880,1454,-1690,132,47,-447
ags,55040600,9921,1469,-1697,120,44,-300
ags,55040610,9921,1405,-1694,66,30,-203
ags,55040620,9885,1430,-1628,71,51,-100
ags,55040630,9878,1379,-1687,45,21,12
ags,55040640,9887,1320,-1716,34,33,120
ags,55040650,9907,1266,-1741,17,18,207
ags,55040660,9958,1171,-1697,30,18,239
ags,55040670,9987,1200,-1633,42,12,314
ags,55040680,9985,1127,-1741,59,-21,361
ags,55040690,9943,1083,-1694,57,-19,369
ags,55040700,9956,1032,-1785,59,-53,380
ags,55040710,9970,968,-1765,24,-21,396
ags,55040720,9975,959,-1702,11,-55,390
ags,55040730,9978,924,-1765,0,-73,381
ags,55040740,9975,902,-1729,-15,-49,349
ags,55040750,9978,876,-1677,-32,-41,312
ags,55040760,10002,839,-1721,-57,-38,259
ags,55040770,9987,837,-1736,-64,-58,227
ags,55040780,9970,841,-1716,-58,-70,218
ags,55040790,9941,788,-1738,-53,-45,180
ags,55040800,9987,829,-1765,-47,-56,131
ags,55040810,10007,832,-1755,-47,-38,80
ags,55040820,9995,829,-1773,-43,-44,47
ags,55040830,9961,854,-1699,-21,-29,12
ags,55040840,9948,873,-1777,-35,-1,-13
ags,55040850,10009,888,-1733,-17,2,-52
ags,55040860,10000,841,-1748,-11,-4,-45
ags,55040870,9983,873,-1729,-2,1,-123
ags,55040880,9968,866,-1719,-20,12,-85
ags,55040890,9958,907,-1743,11,15,-100
ags,55040900,9936,978,-1733,5,39,-120
ags,55040910,9983,942,-1702,-24,30,-149
ags,55040920,9917,927,-1699,1,-19,-120
ags,55040930,9956,954,-1699,-6,-11,-97
ags,55040940,9975,988,-1724,-2,-16,-126
ags,55040950,9980,993,-1751,-5,28,-125
ags,55040960,9965,1010,-1694,12,1,-81
ags,55040970,9951,971,-1702,-28,-36,-97
ags,55040980,9943,990,-1755,-14,-10,-85
ags,55040990,9968,1012,-1743,14,12,-59
ags,55041000,9917,990,-1714,9,-19,-62
ags,55041010,9953,990,-1736,9,-36,-65
ags,55041020,9951,963,-1719,15,-23,-53
ags,55041030,9943,934,-1726,45,-49,-48
ags,55041040,9956,981,-1804,24,-19,-50
ags,55041050,9970,917,-1753,34,-13,-32
ags,55041060,9943,978,-1755,21,-29,-53
ags,55041070,9980,944,-1707,5,-20,-56
ags,55041080,9943,942,-1780,17,-45,-44
ags,55041090,9939,939,-1794,15,-27,-33
ags,55041100,10007,944,-1672,21,-24,-59
ags,55041110,9965,946,-1765,-35,-19,-64
ags,55041120,9990,942,-1736,-8,-8,-58
ags,55041130,9958,951,-1646,-3,-13,-79
ags,55041140,9975,978,-1743,-2,-20,-77
ags,55041150,9953,924,-1665,-8,-11,-71
ags,55041160,9936,934,-1697,14,13,-64
ags,55041170,10029,978,-1682,21,-24,-70
ags,55041180,9980,963,-1768,0,-2,-94
ags,55041190,9948,985,-1743,29,27,-62
ags,55041200,9970,951,-1636,23,15,-108
ags,55041210,9948,963,-1758,-3,-14,-79
ags,55041220,9929,954,-1814,9,4,-58
ags,55041230,9946,1029,-1709,20,22,-58
ags,55041240,9973,988,-1755,12,16,-68
ags,55041250,9968,966,-1687,6,-7,-39
ags,55041260,9987,971,-1738,5,9,-47
ags,55041270,9956,976,-1733,29,-2,-48
ags,55041280,9904,985,-1731,26,-26,-19
ags,55041290,9931,949,-1694,24,-19,-62
ags,55041300,9978,956,-1760,34,-11,-70
ags,55041310,9958,907,-1704,8,-24,-65
ags,55041320,9924,956,-1738,21,-36,-82
ags,55041330,9980,942,-1751,36,-67,-129
ags,55041340,9951,895,-1711,27,-93,-114
ags,55041350,10000,917,-1780,48,-97,-119
ags,55041360,10026,929,-1758,42,-99,-148
ags,55041370,10000,924,-1751,6,-47,-163
ags,55041380,9975,956,-1799,18,-53,-178
ags,55041390,10058,1015,-1814,12,-16,-172
ags,55041400,10022,1017,-1751,-17,1,-166
ags,55041410,9946,1064,-1834,-38,-13,-157
ags,55041420,9873,1100,-1758,-64,21,-151
ags,55041430,9936,1076,-1751,-43,27,-126
ags,55041440,9943,1042,-1755,-18,13,-114
ags,55041450,9917,1032,-1697,-3,36,-102
ags,55041460,9924,1093,-1660,45,15,-81
ags,55041470,9953,1100,-1736,48,15,-48
ags,55041480,10022,1127,-1758,23,16,12
ags,55041490,9939,1127,-1702,-14,10,18
ags,55041500,9965,1129,-1685,-21,10,31
ags,55041510,9890,1098,-1716,-53,-5,67
ags,55041520,9902,1088,-1677,-55,-10,93
ags,55041530,9885,1034,-1716,-57,4,76
ags,55041540,9953,1003,-1699,-49,-11,109
ags,55041550,9924,1027,-1653,-29,-33,123
ags,55041560,9995,951,-1770,-15,-52,132
ags,55041570,9948,963,-1707,-11,-58,154
ags,55041580,9990,959,-1777,-34,-79,151
ags,55041590,9983,995,-1760,-72,-70,152
ags,55041600,9946,981,-1736,-96,-70,114
ags,55041610,9968,949,-1719,-98,-97,109
ags,55041620,9968,949,-1780,-127,-87,109
ags,55041630,9929,968,-1731,-130,-103,79
ags,55041640,9965,929,-1760,-101,-55,88
ags,55041650,9961,900,-1748,-113,-68,74
ags,55041660,9990,915,-1799,-66,-76,73
ags,55041670,9983,900,-1831,-52,-55,48
ags,55041680,9963,920,-1782,-69,-47,39
ags,55041690,9929,934,-1848,-61,-52,57
ags,55041700,9956,934,-1765,-37,-33,27
ags,55041710,9965,902,-1760,-12,-35,21
ags,55041720,9914,932,-1738,-34,-38,28
ags,55041730,9958,934,-1819,-35,-29,7
ags,55041740,9990,905,-1751,-11,-13,-4
ags,55041750,9973,910,-1777,-14,-13,-1
ags,55041760,9965,920,-1841,20,-19,-18
