ags,77235010,9997,-1933,-190,-2,45,22
ags,77235020,9995,-1938,-254,18,12,-18
ags,77235030,9948,-1987,-222,18,10,-9
ags,77235040,9946,-1968,-176,5,33,15
ags,77235050,9934,-1963,-264,8,18,-29
ags,77235060,10007,-1958,-183,-5,21,-10
ags,77235070,9980,-1973,-230,6,9,-4
ags,77235080,9963,-1968,-232,8,16,-4
ags,77235090,9939,-1970,-274,-12,45,-10
ags,77235100,9985,-1919,-217,0,1,-15
ags,77235110,9973,-1968,-249,-18,-7,-16
ags,77235120,10000,-1936,-249,-3,-20,0
ags,77235130,9975,-1948,-164,1,-13,-9
ags,77235140,9985,-1953,-234,18,1,15
ags,77235150,9983,-1924,-212,-12,-19,0
ags,77235160,9992,-1980,-269,23,-13,16
ags,77235170,9956,-1951,-298,-2,10,33
ags,77235180,9961,-1992,-269,11,9,10
ags,77235190,9995,-1968,-271,-18,16,-4
ags,77235200,9968,-1963,-276,3,19,22
ags,77235210,9990,-1963,-164,-11,24,-3
ags,77235220,10002,-1953,-234,11,27,19
ags,77235230,9965,-1955,-325,20,33,-3
ags,77235240,9990,-1924,-173,-12,42,-1
ags,77235250,10000,-1951,-220,31,38,0
ags,77235260,9961,-1938,-261,-8,16,-9
ags,77235270,9978,-1951,-259,-6,31,7
ags,77235280,10000,-1955,-266,-2,30,10
ags,77235290,9980,-1912,-208,-5,57,35
ags,77235300,9958,-1973,-181,-14,33,15
ags,77235310,9951,-1968,-154,15,25,3
ags,77235320,9963,-1985,-181,8,34,-3
ags,77235330,9978,-2009,-295,23,19,9
ags,77235340,9963,-1995,-205,5,36,0
ags,77235350,10002,-1953,-210,21,28,-36
ags,77235360,9968,-1926,-249,-23,4,12
ags,77235370,10004,-1902,-237,18,7,15
ags,77235380,9985,-1951,-244,8,27,-29
ags,77235390,10022,-1965,-210,-12,41,5
ags,77235400,9992,-1980,-269,6,27,-21
ags,77235410,9997,-1953,-186,18,21,-19
ags,77235420,9973,-1943,-239,0,16,12
ags,77235430,10014,-1970,-217,24,9,-9
ags,77235440,9975,-1970,-244,1,36,-12
ags,77235450,10014,-1929,-178,15,16,10
ags,77235460,10012,-1951,-159,30,33,5
ags,77235470,9931,-1960,-247,29,34,13
ags,77235480,9980,-1955,-264,11,2,44
ags,77235490,9943,-1982,-215,15,38,0
ags,77235500,9948,-1941,-212,8,28,44
ags,77235510,9985,-1995,-205,15,38,3
ags,77235520,9995,-1941,-176,15,24,25
ags,77235530,9987,-1946,-256,-2,36,35
ags,77235540,9953,-1955,-171,-8,22,18
ags,77235550,9975,-1985,-215,6,9,-9
ags,77235560,9973,-2002,-205,0,7,-3
ags,77235570,9973,-1992,-215,11,21,-16
ags,77235580,9985,-1948,-195,0,21,-6
ags,77235590,10000,-1973,-200,15,-21,-13
ags,77235600,9992,-1951,-190,-3,-7,-21
ags,77235610,9973,-1970,-171,14,-1,-4
ags,77235620,9943,-1975,-186,-9,18,-18
ags,77235630,9997,-1968,-220,1,2,-19
ags,77235640,9956,-1992,-222,9,-7,-33
ags,77235650,9997,-1977,-281,-21,18,-45
ags,77235660,9980,-1951,-217,1,-8,-35
ags,77235670,9990,-1953,-222,1,7,-39
ags,77235680,9973,-2009,-281,18,2,-30
ags,77235690,9943,-1985,-252,20,5,-48
ags,77235700,9961,-1970,-208,-20,5,-35
ags,77235710,9934,-1904,-200,-18,33,-42
ags,77235720,9951,-1924,-181,-2,19,-12
ags,77235730,9968,-1933,-200,8,15,-38
